update,date
December 2020 Core Update,"Thursday, December 3, 2020"
"Indexing Bug, Pt. 2","Monday, October 12, 2020"
"Indexing Bug, Pt. 1","Tuesday, September 29, 2020"
Unnamed Update,"Saturday, August 15, 2020"
Google Glitch,"Monday, August 10, 2020"
Google Bug Fix,"Monday, June 22, 2020"
May 2020 Core Update,"Monday, May 4, 2020"
COVID-19 Pandemic,"Wednesday, March 11, 2020"
Unnamed Update,"Friday, February 7, 2020"
Featured Snippet De-duping,"Wednesday, January 22, 2020"
January 2020 Core Update,"Monday, January 13, 2020"
International BERT Roll-out,"Monday, December 9, 2019"
BERT Update,"Tuesday, October 22, 2019"
Unnamed Update,"Wednesday, October 2, 2019"
September 2019 Core Update,"Tuesday, September 24, 2019"
Maverick Update,"Friday, July 12, 2019"
Site Diversity Update,"Thursday, June 6, 2019"
June 2019 Core Update,"Monday, June 3, 2019"
Indexing Bugs,"Thursday, May 23, 2019"
Deindexing Bug,"Friday, April 5, 2019"
March 2019 Core Update,"Tuesday, March 12, 2019"
19-result SERPs,"Friday, March 1, 2019"
Unnamed Update,"Wednesday, February 6, 2019"
Unnamed Update,"Thursday, November 29, 2018"
Unnamed Update,"Monday, October 15, 2018"
Unnamed Update,"Monday, September 10, 2018"
Medic Core Update,"Wednesday, August 1, 2018"
Chrome Security Warnings (Full Site),"Tuesday, July 24, 2018"
Unnamed Update,"Saturday, July 21, 2018"
Mobile Speed Update,"Monday, July 9, 2018"
Video Carousels,"Thursday, June 14, 2018"
Unnamed Update,"Wednesday, May 23, 2018"
Snippet Length Drop,"Sunday, May 13, 2018"
Unnamed Core Update,"Tuesday, April 17, 2018"
Mobile-First Index Roll-out,"Monday, March 26, 2018"
Zero-result SERP Test,"Wednesday, March 14, 2018"
Brackets Core Update,"Thursday, March 8, 2018"
Unnamed Update,"Tuesday, February 20, 2018"
Maccabees Update,"Thursday, December 14, 2017"
Snippet Length Increase,"Thursday, November 30, 2017"
Unnamed Update,"Tuesday, November 14, 2017"
Featured Snippet Drop,"Friday, October 27, 2017"
Chrome Security Warnings (Forms),"Tuesday, October 17, 2017"
Unnamed Update,"Wednesday, September 27, 2017"
Google Jobs,"Tuesday, June 20, 2017"
Unnamed Update,"Wednesday, May 17, 2017"
Google Tops 50% HTTPS,"Sunday, April 16, 2017"
Fred (Unconfirmed),"Wednesday, March 8, 2017"
Unnamed Update,"Monday, February 6, 2017"
Unnamed Update,"Wednesday, February 1, 2017"
Intrusive Interstitial Penalty,"Tuesday, January 10, 2017"
Unnamed Update,"Wednesday, December 14, 2016"
Unnamed Update,"Thursday, November 10, 2016"
"Penguin 4.0, Phase 2","Thursday, October 6, 2016"
"Penguin 4.0, Phase 1","Tuesday, September 27, 2016"
Penguin 4.0 Announcement,"Friday, September 23, 2016"
Image/Universal Drop,"Tuesday, September 13, 2016"
Possum,"Thursday, September 1, 2016"
Mobile-friendly 2,"Thursday, May 12, 2016"
Unnamed Update,"Tuesday, May 10, 2016"
AdWords Shake-up,"Tuesday, February 23, 2016"
Unnamed Update,"Friday, January 8, 2016"
RankBrain*,"Monday, October 26, 2015"
Panda 4.2 (#28),"Friday, July 17, 2015"
The Quality Update,"Sunday, May 3, 2015"
Mobile Update AKA Mobilegeddon,"Wednesday, April 22, 2015"
Unnamed Update,"Wednesday, February 4, 2015"
"Pigeon Expands (UK, CA, AU)","Monday, December 22, 2014"
Penguin Everflux,"Wednesday, December 10, 2014"
Pirate 2.0,"Tuesday, October 21, 2014"
Penguin 3.0,"Friday, October 17, 2014"
In The News Box,"Wednesday, October 1, 2014"
Panda 4.1 (#27),"Tuesday, September 23, 2014"
Authorship Removed,"Thursday, August 28, 2014"
HTTPS/SSL Update,"Wednesday, August 6, 2014"
Pigeon,"Thursday, July 24, 2014"
Authorship Photo Drop,"Saturday, June 28, 2014"
Payday Loan 3.0,"Thursday, June 12, 2014"
Panda 4.0 (#26),"Monday, May 19, 2014"
Payday Loan 2.0,"Friday, May 16, 2014"
Unnamed Update,"Monday, March 24, 2014"
Page Layout #3,"Thursday, February 6, 2014"
Authorship Shake-up,"Thursday, December 19, 2013"
Unnamed Update,"Tuesday, December 17, 2013"
Unnamed Update,"Thursday, November 14, 2013"
Penguin 2.1 (#5),"Friday, October 4, 2013"
Hummingbird,"Tuesday, August 20, 2013"
In-depth Articles,"Tuesday, August 6, 2013"
Unnamed Update,"Friday, July 26, 2013"
Knowledge Graph Expansion,"Friday, July 19, 2013"
Panda Recovery,"Thursday, July 18, 2013"
Multi-Week Update,"Thursday, June 27, 2013"
Payday Loan Update,"Tuesday, June 11, 2013"
Panda Dance,"Tuesday, June 11, 2013"
Penguin 2.0 (#4),"Wednesday, May 22, 2013"
Domain Crowding,"Tuesday, May 21, 2013"
Phantom,"Thursday, May 9, 2013"
Panda #25,"Thursday, March 14, 2013"
Panda #24,"Tuesday, January 22, 2013"
Panda #23,"Friday, December 21, 2012"
Knowledge Graph Expansion,"Tuesday, December 4, 2012"
Panda #22,"Wednesday, November 21, 2012"
Panda #21,"Monday, November 5, 2012"
Page Layout #2,"Tuesday, October 9, 2012"
Penguin #3,"Friday, October 5, 2012"
August/September 65-Pack,"Thursday, October 4, 2012"
Panda #20,"Thursday, September 27, 2012"
Exact-Match Domain (EMD) Update,"Thursday, September 27, 2012"
Panda 3.9.2 (#19),"Tuesday, September 18, 2012"
Panda 3.9.1 (#18),"Monday, August 20, 2012"
7-Result SERPs,"Tuesday, August 14, 2012"
June/July 86-Pack,"Friday, August 10, 2012"
DMCA Penalty (Pirate),"Friday, August 10, 2012"
Panda 3.9 (#17),"Tuesday, July 24, 2012"
Link Warnings,"Thursday, July 19, 2012"
Panda 3.8 (#16),"Monday, June 25, 2012"
Panda 3.7 (#15),"Friday, June 8, 2012"
May 39-Pack,"Thursday, June 7, 2012"
Penguin 1.1 (#2),"Friday, May 25, 2012"
Knowledge Graph,"Wednesday, May 16, 2012"
April 52-Pack,"Friday, May 4, 2012"
Panda 3.6 (#14),"Friday, April 27, 2012"
Penguin,"Tuesday, April 24, 2012"
Panda 3.5 (#13),"Thursday, April 19, 2012"
Parked Domain Bug,"Monday, April 16, 2012"
March 50-Pack,"Tuesday, April 3, 2012"
Panda 3.4 (#12),"Friday, March 23, 2012"
Search Quality Video,"Monday, March 12, 2012"
Venice,"Monday, February 27, 2012"
February 40-Pack (2),"Monday, February 27, 2012"
Panda 3.3 (#11),"Monday, February 27, 2012"
February 17-Pack,"Friday, February 3, 2012"
Ads Above The Fold,"Thursday, January 19, 2012"
Panda 3.2 (#10),"Wednesday, January 18, 2012"
Search + Your World,"Tuesday, January 10, 2012"
January 30-Pack,"Thursday, January 5, 2012"
December 10-Pack,"Thursday, December 1, 2011"
Panda 3.1 (#9),"Friday, November 18, 2011"
10-Pack of Updates,"Monday, November 14, 2011"
Freshness Update,"Thursday, November 3, 2011"
Query Encryption,"Tuesday, October 18, 2011"
Panda Flux (#8),"Wednesday, October 5, 2011"
Panda 2.5 (#7),"Wednesday, September 28, 2011"
516 Algo Updates,"Wednesday, September 21, 2011"
Pagination Elements,"Thursday, September 15, 2011"
Expanded Sitelinks,"Tuesday, August 16, 2011"
Panda 2.4 (#6),"Friday, August 12, 2011"
Panda 2.3 (#5),"Saturday, July 23, 2011"
Google+,"Tuesday, June 28, 2011"
Panda 2.2 (#4),"Tuesday, June 21, 2011"
Schema.org,"Thursday, June 2, 2011"
Panda 2.1 (#3),"Monday, May 9, 2011"
Panda 2.0 (#2),"Monday, April 11, 2011"
The +1 Button,"Wednesday, March 30, 2011"
Panda/Farmer,"Wednesday, February 23, 2011"
Attribution Update,"Friday, January 28, 2011"
Overstock.com Penalty,"Saturday, January 1, 2011"
Negative Reviews,"Wednesday, December 1, 2010"
Social Signals,"Wednesday, December 1, 2010"
Instant Previews,"Monday, November 1, 2010"
Google Instant,"Wednesday, September 1, 2010"
Brand Update,"Sunday, August 1, 2010"
Caffeine (Rollout),"Tuesday, June 1, 2010"
May Day,"Saturday, May 1, 2010"
Google Places,"Thursday, April 1, 2010"
Real-time Search,"Tuesday, December 1, 2009"
Caffeine (Preview),"Saturday, August 1, 2009"
Vince,"Sunday, February 1, 2009"
Rel-canonical Tag,"Sunday, February 1, 2009"
Google Suggest,"Friday, August 1, 2008"
Dewey,"Tuesday, April 1, 2008"
Buffy,"Friday, June 1, 2007"
Universal Search,"Tuesday, May 1, 2007"
False Alarm,"Friday, December 1, 2006"
Supplemental Update,"Wednesday, November 1, 2006"
Big Daddy,"Thursday, December 1, 2005"
Google Local/Maps,"Saturday, October 1, 2005"
Jagger,"Saturday, October 1, 2005"
Gilligan,"Thursday, September 1, 2005"
XML Sitemaps,"Wednesday, June 1, 2005"
Personalized Search,"Wednesday, June 1, 2005"
Bourbon,"Sunday, May 1, 2005"
Allegra,"Tuesday, February 1, 2005"
Nofollow,"Saturday, January 1, 2005"
Google IPO,"Sunday, August 1, 2004"
Brandy,"Sunday, February 1, 2004"
Austin,"Thursday, January 1, 2004"
Florida,"Saturday, November 1, 2003"
Supplemental Index,"Monday, September 1, 2003"
Fritz,"Tuesday, July 1, 2003"
Esmeralda,"Sunday, June 1, 2003"
Dominic,"Thursday, May 1, 2003"
Cassandra,"Tuesday, April 1, 2003"
Boston,"Saturday, February 1, 2003"
1st Documented Update,"Sunday, September 1, 2002"
Google Toolbar,"Friday, December 1, 2000"
